time random constant increasing decreasing ascending descending
30000 2150 1489 1728 1633 1620 1622
60000 3946 2945 3539 3265 3239 3246
90000 5897 4412 5246 4913 4901 4872
120000 7891 6074 6802 6805 6481 6545
150000 9553 7552 8952 8641 8651 8684
180000 11720 8999 10577 10807 10097 10304
210000 13329 10786 12599 12727 12902 12048
240000 15344 12162 14151 13910 13988 14346
270000 17471 14039 16220 16081 15805 15898
300000 19759 15891 18176 17731 18183 17399
330000 21210 17088 19598 19311 19078 18736
360000 22582 18165 20856 20530 20033 19953
390000 23858 19324 22125 21685 21895 21578
420000 25690 20743 24978 24601 23494 23709
450000 28284 23484 26275 25607 25524 25516
