time random constant increasing decreasing ascending descending
30000 7070 426 5494 5286 5526 5556
60000 15595 903 11953 11538 12189 12035
90000 24763 1362 18726 17868 18718 18218
120000 33547 1913 24973 23969 25136 24892
150000 42794 2286 31369 30060 31058 30766
180000 51137 2939 37776 36147 38510 38072
210000 62142 3091 44810 43267 45475 44843
240000 69839 3449 50522 48723 52433 51711
270000 81443 4022 57908 55341 58522 57476
300000 89713 4309 64179 62228 65508 64539
330000 100779 4867 71884 68520 72325 72577
360000 110773 5170 78223 75355 79492 78264
390000 119823 5654 86618 82586 86546 85758
420000 130437 6122 93400 89944 94093 92509
450000 139816 6566 98856 95929 100741 99572
