time random constant increasing decreasing ascending descending
30000 7536 5092 5049 5081 5052 5173
60000 15078 10319 10300 10826 10479 10136
90000 23383 16119 15769 16248 15479 15142
120000 30752 20731 20730 21016 20318 20821
150000 37865 26419 28717 27146 26909 26025
180000 47079 32177 31337 30844 30826 30792
210000 53358 36399 36388 36077 36172 36078
240000 62065 44451 42900 42760 42774 42583
270000 70742 47348 46974 46722 46814 46936
300000 78247 56104 54582 54241 53674 53925
330000 85822 58146 58451 59129 59427 59424
360000 94335 63770 63695 63610 63750 63504
390000 100835 69027 68975 68776 69171 69327
420000 111224 74808 75843 75014 74877 79074
450000 117124 80244 80445 80501 80353 81126
