time random constant increasing decreasing ascending descending
30000 3475 1952 1077 1121 1077 1126
60000 7364 4340 2364 2477 2371 2385
90000 10868 6915 3609 3762 3618 3665
120000 15168 9160 4936 5132 4942 4978
150000 18922 11289 5947 6298 6017 6023
180000 22643 13920 7157 7471 7173 7307
210000 25549 16343 8749 9034 8752 8783
240000 30664 18405 9791 10204 9804 9864
270000 33909 20794 11074 11520 11202 11187
300000 39071 24190 12694 13183 12747 12803
330000 42475 26079 13822 14302 13720 13904
360000 46658 29089 15019 15551 14928 15250
390000 50122 31495 16472 17320 17378 17725
420000 55134 34713 18210 18820 18203 18291
450000 60779 36882 19678 20078 19233 19343
