time random constant increasing decreasing ascending descending
30000 5655 1253 1251 1743 1585 1541
60000 12608 2755 2753 3841 3380 3379
90000 20377 4431 4421 6140 5351 5349
120000 28431 5809 5751 7985 7022 7028
150000 34440 7643 7635 10347 9304 9127
180000 44669 9342 9691 13055 10830 11100
210000 50621 10698 11328 14606 12953 12944
240000 59836 12223 12116 16659 14601 14651
270000 66709 14255 14403 19649 17351 17498
300000 74220 15837 16093 21989 19822 19723
330000 88683 17826 17847 23865 20895 20971
360000 92903 19208 19057 26289 22958 22979
390000 98717 20658 20670 28565 25002 24843
420000 108823 22443 22148 30236 27018 26925
450000 114673 23775 23883 32784 29219 28982
